date,time,Rn,G,PAR,Ta,RH,WS,TS_10cm,SM_10cm
/,/,W m-2,W m-2,umol/(m^2 s),℃,%,m s-1,℃,m3 m-3
date,time,Rn,G_5cm,PAR,Ta,RH,WS,TS_10cm,SM_10cm
