year,month,day,hour,minute,second,近地面空气温度,冠层上方空气温度,近地面空气湿度,冠层上方空气湿度,近地面水汽压,冠层上方水汽压,大气压,一层土壤温度,二层土壤温度,三层土壤温度,四层土壤温度,一层土壤体积含水量,二层土壤体积含水量,三层土壤体积含水量,光合有效辐射,降水量
/,/,/,/,/,/,℃,℃,%,%,kPa,kPa,kPa,℃,℃,℃,℃,m3 m-3,m3 m-3,m3 m-3,μmol m-2 s-1,mm
year,month,day,hour,minute,second,Ta,Ta_canopy,RH,RH_canopy,ea,ea_canopy,Pa,TS_5cm,TS_15cm,TS_35cm,TS_55cm,SM_5cm,SM_15cm,SM_35cm,PAR,Prcp
