year,month,day,hour,minute,Ta_1_AVG,Ta_2_AVG,Ta_3_AVG,Ta_4_AVG,Ta_5_AVG,Ta_6_AVG,Ta_7_AVG,RH_1_AVG,RH_2_AVG,RH_3_AVG,RH_4_AVG,RH_5_AVG,RH_6_AVG,RH_7_AVG,WS_1_AVG,WS_2_AVG,WS_3_AVG,WS_4_AVG,WS_5_AVG,WS_6_AVG,WS_7_AVG,WD_7_AVG,P_5_AVG,Q_5_AVG,DR_5_AVG,UR_5_AVG,DLR_5_AVG,ULR_5_AVG,Rn_5_AVG,Ts_1_AVG,Ts_2_AVG,Ts_3_AVG,Ts_4_AVG,Ts_5_AVG,G_1_AVG,G_2_AVG,Smoist_1_AVG,Smoist_2_AVG,Smoist_3_AVG,Rain_6_TOT
year,month,day,hour,minute,Ta,Ta_2,Ta_3,Ta_4,Ta_canopy,Ta_6,Ta_7,RH,RH_2,RH_3,RH_4,RH_canopy,RH_6,RH_7,WS,WS_2,WS_3,WS_4,WS_canopy,WS_6,WS_7,WD_7,Pa,Q,Rs,Rs_out,Rln_in,Rln_out,Rn,TS_5cm,TS_10cm,TS_20cm,TS_40cm,TS_60cm,G_2cm,G_5cm,SM_5cm,SM_10cm,SM_20cm,Prcp
/,/,/,/,/,℃,℃,℃,℃,℃,℃,℃,%,%,%,%,%,%,%,m s-1,m s-1,m s-1,m s-1,m s-1,m s-1,m s-1,°,kPa,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,℃,℃,℃,℃,℃,W m-2,W m-2,m3 m-3,m3 m-3,m3 m-3,mm
