year,month,day,hour,minute,Ta,RH,ea,PAR,albedo,Rs_in,Rs_out,Rln_in,Rln_out,Rn,Prcp,WS,WD,WD_StDev,G_N,G_S,Soil_T_N,Soil_T_S,Soil_VWC_N,Soil_VWC_S
/,/,/,/,/,℃,%,kPa,µmol m-2 s-1,/,W m-2,W m-2,W m-2,W m-2,W m-2,mm,m s-1,°,°,W m-2,W m-2,℃,℃,%,%
year,month,day,hour,minute,Ta,RH,ea,PAR,albedo,Rs,Rs_out,Rln_in,Rln_out,Rn,Prcp,WS,WD,WD_StDev,G_8cm_N,G_8cm_S,TS_4cm_N,TS_4cm_S,SM_4cm_N,SM_4cm_S
